ets Jul 29 2019 12:21:46

rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
configsip: 0, SPIWP:0xee
clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
mode:DIO, clock div:2
load:0x3fff0030,len:1184
load:0x40078000,len:12776
load:0x40080400,len:3032
entry 0x400805e4
400g: r, Acc: a, Gyro: g, Mag: m, LPS: l
m is pressed
time,x,y,z
0,0,0,0
1928,0,0,0
3737,0,0,0
5545,0,0,0
7358,0,0,0
9167,0,0,0
10976,0,0,0
12784,0,0,0
0,0,0,0
37554,0,0,0
39370,0,0,0
41178,0,0,0
42987,0,0,0
44796,0,0,0
46605,0,0,0
48413,0,0,0
65536,0,0,0
73184,0,0,0
74993,0,0,0
76801,0,0,0
78610,0,0,0
80419,0,0,0
82228,0,0,0
84036,0,0,0
65536,0,0,0
108794,0,0,0
110603,0,0,0
112412,0,0,0
114220,0,0,0
116029,0,0,0
117838,0,0,0
119647,0,0,0
131072,0,0,0
144405,0,0,0
146214,0,0,0
148023,0,0,0
149831,0,0,0
151640,0,0,0
153449,0,0,0
155260,0,0,0
131072,0,0,0
180018,0,0,0
181826,0,0,0
183635,0,0,0
185444,0,0,0
187260,0,0,0
189069,0,0,0
190886,0,0,0
196608,0,0,0
215643,0,0,0
217452,0,0,0
219261,0,0,0
221069,0,0,0
222886,0,0,0
224695,0,0,0
226506,0,0,0
196608,0,0,0
251263,0,0,0
253072,0,0,0
255387,0,0,0
257196,0,0,0
259004,0,0,0
260813,0,0,0
262622,0,0,0
262144,0,0,0
287387,0,0,0
289196,0,0,0
291005,0,0,0
292813,0,0,0
294622,0,0,0
296431,0,0,0
298247,0,0,0
262144,0,0,0
323005,0,0,0
324814,0,0,0
326622,0,0,0
328431,0,0,0
330248,0,0,0
332056,0,0,0
333865,0,0,0
327680,0,0,0
358623,0,0,0
360432,0,0,0
362248,0,0,0
364057,0,0,0
365866,0,0,0
367675,0,0,0
369483,0,0,0
327680,0,0,0
394248,0,0,0
396057,0,0,0
397866,0,0,0
399675,0,0,0
401484,0,0,0
403293,0,0,0
405110,0,0,0
393216,0,0,0
429867,0,0,0
431675,0,0,0
433484,0,0,0
435293,0,0,0
437110,0,0,0
438919,0,0,0
440728,0,0,0
458752,0,0,0
465485,0,0,0
467294,0,0,0
469111,0,0,0
470920,0,0,0
472729,0,0,0
474538,0,0,0
476351,0,0,0
458752,0,0,0
501118,0,0,0
502926,0,0,0
504735,0,0,0
506544,0,0,0
508358,0,0,0
510168,0,0,0
511976,0,0,0
524288,0,0,0
536734,0,0,0
538543,0,0,0
540354,0,0,0
542164,0,0,0
543973,0,0,0
545782,0,0,0
547591,0,0,0
524288,0,0,0
572354,0,0,0
574165,0,0,0
575973,0,0,0
577782,0,0,0
579591,0,0,0
581403,0,0,0
583211,0,0,0
589824,0,0,0
607969,0,0,0
609778,0,0,0
611587,0,0,0
613399,0,0,0
615208,0,0,0
617016,0,0,0
618825,0,0,0
589824,0,0,0
643583,0,0,0
645398,0,0,0
647207,0,0,0
649016,0,0,0
650825,0,0,0
652633,0,0,0
654442,0,0,0
655360,0,0,0
679213,0,0,0
681022,0,0,0
682831,0,0,0
684640,0,0,0
686449,0,0,0
688260,0,0,0
690069,0,0,0
655360,0,0,0
714834,0,0,0
716643,0,0,0
718452,0,0,0
720261,0,0,0
722069,0,0,0
723886,0,0,0
725695,0,0,0
720896,0,0,0
750454,0,0,0
752263,0,0,0
754072,0,0,0
755888,0,0,0
757697,0,0,0
759508,0,0,0
761317,0,0,0
720896,0,0,0
786090,0,0,0
787899,0,0,0
789708,0,0,0
791519,0,0,0
793328,0,0,0
795137,0,0,0
796946,0,0,0
786432,0,0,0
821704,0,0,0
823515,0,0,0
825323,0,0,0
827136,0,0,0
828945,0,0,0
830754,0,0,0
832563,0,0,0
851968,0,0,0
857320,0,0,0
859137,0,0,0
860945,0,0,0
862754,0,0,0
864563,0,0,0
866378,0,0,0
868187,0,0,0
851968,0,0,0
892945,0,0,0
894754,0,0,0
896563,0,0,0
898378,0,0,0
900187,0,0,0
901996,0,0,0
903805,0,0,0
917504,0,0,0
928562,0,0,0
930378,0,0,0
932187,0,0,0
933996,0,0,0
935805,0,0,0
937613,0,0,0
939422,0,0,0
917504,0,0,0
964193,0,0,0
966001,0,0,0
967810,0,0,0
969619,0,0,0
971428,0,0,0
973244,0,0,0
975053,0,0,0
983040,0,0,0
999811,0,0,0
1001620,0,0,0
1003429,0,0,0
1005245,0,0,0
1007054,0,0,0
1008862,0,0,0
1010671,0,0,0
983040,0,0,0
1035429,0,0,0
1037245,0,0,0
1039054,0,0,0
1040862,0,0,0
1042671,0,0,0
1044480,0,0,0
1046289,0,0,0
1048576,0,0,0
1071046,0,0,0
1072855,0,0,0
1074664,0,0,0
1076473,0,0,0
1078282,0,0,0
1080099,0,0,0
1081907,0,0,0
1048576,0,0,0
1106665,0,0,0
1108474,0,0,0
1110282,0,0,0
1112099,0,0,0
1113908,0,0,0
1115717,0,0,0
1117527,0,0,0
1114112,0,0,0
1142284,0,0,0
1144101,0,0,0
1145910,0,0,0
1147719,0,0,0
1149529,0,0,0
1151338,0,0,0
1153149,0,0,0
1114112,0,0,0
1177915,0,0,0
1179724,0,0,0
1181533,0,0,0
1183343,0,0,0
1185153,0,0,0
1186962,0,0,0
1188771,0,0,0
1179648,0,0,0
1213529,0,0,0
1215338,0,0,0
1217148,0,0,0
1218957,0,0,0
1220766,0,0,0
1222575,0,0,0
1224395,0,0,0
1245184,0,0,0
1249156,0,0,0
1250965,0,0,0
1252774,0,0,0
1254582,0,0,0
1256398,0,0,0
1258207,0,0,0
1260016,0,0,0
1245184,0,0,0
1284773,0,0,0
1286582,0,0,0
1288398,0,0,0
1290207,0,0,0
1292016,0,0,0
1293825,0,0,0
1295634,0,0,0
1310720,0,0,0
1320396,0,0,0
1322204,0,0,0
1324013,0,0,0
1325822,0,0,0
1327631,0,0,0
1329440,0,0,0
1331256,0,0,0
1310720,0,0,0
1356014,0,0,0
1357822,0,0,0
1359631,0,0,0
1361440,0,0,0
1363257,0,0,0
1365065,0,0,0
1366874,0,0,0
1376256,0,0,0
1391631,0,0,0
1393440,0,0,0
1395257,0,0,0
1397066,0,0,0
1398874,0,0,0
1400683,0,0,0
1402492,0,0,0
1376256,0,0,0
1427257,0,0,0
1429066,0,0,0
1430875,0,0,0
1432683,0,0,0
1434493,0,0,0
1436301,0,0,0
1438118,0,0,0
1441792,0,0,0
1462876,0,0,0
1464685,0,0,0
1466494,0,0,0
1468303,0,0,0
1470120,0,0,0
1471929,0,0,0
1473738,0,0,0
1441792,0,0,0
1498496,0,0,0
1500304,0,0,0
1502121,0,0,0
1503930,0,0,0
1505739,0,0,0
1507548,0,0,0
1509368,0,0,0
1507328,0,0,0
1534133,0,0,0
1535942,0,0,0
1537751,0,0,0
1539560,0,0,0
1541375,0,0,0
1543184,0,0,0
1544993,0,0,0
1507328,0,0,0
1569750,0,0,0
1571559,0,0,0
1573375,0,0,0
1575184,0,0,0
1576993,0,0,0
1578802,0,0,0
1580610,0,0,0
1572864,0,0,0
1605375,0,0,0
1607184,0,0,0
1608993,0,0,0
1610802,0,0,0
1612610,0,0,0
1614419,0,0,0
1616228,0,0,0
1638400,0,0,0
1640985,0,0,0
1642794,0,0,0
1644603,0,0,0
1646412,0,0,0
1648221,0,0,0
1650030,0,0,0
1651838,0,0,0
1638400,0,0,0
1676596,0,0,0
1678405,0,0,0
1680214,0,0,0
1682023,0,0,0
1683831,0,0,0
1685640,0,0,0
1687449,0,0,0
1703936,0,0,0
1712213,0,0,0
1714022,0,0,0
1715831,0,0,0
1717640,0,0,0
1719448,0,0,0
1721260,0,0,0
1723069,0,0,0
1703936,0,0,0
1747834,0,0,0
1749643,0,0,0
1751452,0,0,0
1753261,0,0,0
1755069,0,0,0
1756886,0,0,0
1758695,0,0,0
1769472,0,0,0
1783454,0,0,0
1785263,0,0,0
1787072,0,0,0
1788888,0,0,0
1791387,0,0,0
1793196,0,0,0
1795005,0,0,0
1769472,0,0,0
1819762,0,0,0
1821571,0,0,0
1823387,0,0,0
1825196,0,0,0
1827004,0,0,0
1828813,0,0,0
1830622,0,0,0
1835008,0,0,0
1855387,0,0,0
1857196,0,0,0
1859004,0,0,0
1860813,0,0,0
1862622,0,0,0
1864431,0,0,0
1866247,0,0,0
1835008,0,0,0
1891005,0,0,0
1892814,0,0,0
1894622,0,0,0
1896431,0,0,0
1898248,0,0,0
1900056,0,0,0
1901865,0,0,0
1900544,0,0,0
1926623,0,0,0
1928432,0,0,0
1930248,0,0,0
1932057,0,0,0
1933866,0,0,0
1935675,0,0,0
1937483,0,0,0
1900544,0,0,0
1962248,0,0,0
1964057,0,0,0
1965866,0,0,0
1967675,0,0,0
1969484,0,0,0
1971293,0,0,0
1973110,0,0,0
1966080,0,0,0
1997867,0,0,0
1999675,0,0,0
2001484,0,0,0
2003293,0,0,0
2005110,0,0,0
2006919,0,0,0
2008728,0,0,0
2031616,0,0,0
2033485,0,0,0
2035294,0,0,0
2037111,0,0,0
2038920,0,0,0
2040729,0,0,0
2042538,0,0,0
2044351,0,0,0
2031616,0,0,0
2069118,0,0,0
2070926,0,0,0
2072735,0,0,0
2074544,0,0,0
2076358,0,0,0
2078168,0,0,0
2079976,0,0,0
2097152,0,0,0
2104734,0,0,0
2106543,0,0,0
2108354,0,0,0
2110164,0,0,0
2111973,0,0,0
2113782,0,0,0
2115591,0,0,0
2097152,0,0,0
2140354,0,0,0
2142165,0,0,0
2143973,0,0,0
2145782,0,0,0
2147591,0,0,0
2149403,0,0,0
2151211,0,0,0
2162688,0,0,0
2175969,0,0,0
2177778,0,0,0
2179587,0,0,0
2181399,0,0,0
2183208,0,0,0
2185016,0,0,0
2186825,0,0,0
2162688,0,0,0
2211583,0,0,0
2213398,0,0,0
2215207,0,0,0
2217016,0,0,0
2218825,0,0,0
2220633,0,0,0
2222442,0,0,0
2228224,0,0,0
2247213,0,0,0
2249022,0,0,0
2250831,0,0,0
2252640,0,0,0
2254449,0,0,0
2256260,0,0,0
2258069,0,0,0
2228224,0,0,0
2282834,0,0,0
2284643,0,0,0
2286452,0,0,0
2288261,0,0,0
2290069,0,0,0
2291886,0,0,0
2293695,0,0,0
2293760,0,0,0
2318454,0,0,0
2320263,0,0,0
2322072,0,0,0
2323888,0,0,0
2325697,0,0,0
2327508,0,0,0
2329317,0,0,0
2293760,0,0,0
2354090,0,0,0
2355899,0,0,0
2357708,0,0,0
2359519,0,0,0
2361328,0,0,0
2363137,0,0,0
2364946,0,0,0
2359296,0,0,0
2389704,0,0,0
2391515,0,0,0
2393323,0,0,0
2395136,0,0,0
2396945,0,0,0
2398754,0,0,0
2400563,0,0,0
2359296,0,0,0
2425320,0,0,0
2427137,0,0,0
2428945,0,0,0
2430754,0,0,0
2432563,0,0,0
2434378,0,0,0
2436187,0,0,0
2424832,0,0,0
2460945,0,0,0
2462754,0,0,0
2464563,0,0,0
2466378,0,0,0
2468187,0,0,0
2469996,0,0,0
2471805,0,0,0
2490368,0,0,0
2496562,0,0,0
2498378,0,0,0
2500187,0,0,0
2501996,0,0,0
2503805,0,0,0
2505613,0,0,0
2507422,0,0,0
2490368,0,0,0
2532193,0,0,0
2534001,0,0,0
2535810,0,0,0
2537619,0,0,0
2539428,0,0,0
2541244,0,0,0
2543053,0,0,0
2555904,0,0,0
2567811,0,0,0
2569620,0,0,0
2571429,0,0,0
2573245,0,0,0
2575054,0,0,0
2576862,0,0,0
2578671,0,0,0
2555904,0,0,0
2603429,0,0,0
2605245,0,0,0
2607054,0,0,0
2608862,0,0,0
2610671,0,0,0
2612480,0,0,0
2614289,0,0,0
2621440,0,0,0
2639046,0,0,0
2640855,0,0,0
2642664,0,0,0
2644473,0,0,0
2646282,0,0,0
2648099,0,0,0
2649907,0,0,0
2621440,0,0,0
2674665,0,0,0
2676474,0,0,0
2678282,0,0,0
2680099,0,0,0
2681908,0,0,0
2683717,0,0,0
2685527,0,0,0
2686976,0,0,0
2710284,0,0,0
2712101,0,0,0
2713910,0,0,0
2715719,0,0,0
2717529,0,0,0
2719338,0,0,0
2721149,0,0,0
2686976,0,0,0
2745915,0,0,0
2747724,0,0,0
2749533,0,0,0
2751343,0,0,0
2753153,0,0,0
2754962,0,0,0
2756771,0,0,0
2752512,0,0,0
2781529,0,0,0
2783338,0,0,0
2785148,0,0,0
2786957,0,0,0
2788766,0,0,0
2790575,0,0,0
2792395,0,0,0
2752512,0,0,0
2817196,0,0,0
2819004,0,0,0
2820813,0,0,0
2822622,0,0,0
2824431,0,0,0
2826248,0,0,0
2828056,0,0,0
2818048,0,0,0
2852814,0,0,0
2854623,0,0,0
2856432,0,0,0
2858248,0,0,0
2860057,0,0,0
2861866,0,0,0
2863675,0,0,0
2883584,0,0,0
2888432,0,0,0
2890248,0,0,0
2892057,0,0,0
2893866,0,0,0
2895675,0,0,0
2897484,0,0,0
2899292,0,0,0
2883584,0,0,0
2924050,0,0,0
2925859,0,0,0
2927667,0,0,0
2929476,0,0,0
2931285,0,0,0
2933102,0,0,0
2934911,0,0,0
2949120,0,0,0
2959668,0,0,0
2961477,0,0,0
2963285,0,0,0
2965102,0,0,0
2966911,0,0,0
2968720,0,0,0
2970530,0,0,0
2949120,0,0,0
2995287,0,0,0
2997104,0,0,0
2998912,0,0,0
3000721,0,0,0
3002531,0,0,0
3004340,0,0,0
3006150,0,0,0
3014656,0,0,0
3030916,0,0,0
3032725,0,0,0
3034534,0,0,0
3036345,0,0,0
3038156,0,0,0
3039965,0,0,0
3041773,0,0,0
3014656,0,0,0
3066531,0,0,0
3068341,0,0,0
3070151,0,0,0
3071960,0,0,0
3073769,0,0,0
3075578,0,0,0
3077395,0,0,0
3080192,0,0,0
3102156,0,0,0
3103965,0,0,0
3105774,0,0,0
3107582,0,0,0
3109398,0,0,0
3111207,0,0,0
3113016,0,0,0
3080192,0,0,0
3137773,0,0,0
3139582,0,0,0
3141398,0,0,0
3143207,0,0,0
3145016,0,0,0
3146825,0,0,0
3148634,0,0,0
3145728,0,0,0
3173396,0,0,0
3175204,0,0,0
3177013,0,0,0
3178822,0,0,0
3180631,0,0,0
3182440,0,0,0
3184256,0,0,0
3145728,0,0,0
3209014,0,0,0
3210822,0,0,0
3212631,0,0,0
3214440,0,0,0
3216257,0,0,0
3218065,0,0,0
3219874,0,0,0
3211264,0,0,0
3244631,0,0,0
3246440,0,0,0
3248257,0,0,0
3250066,0,0,0
3251874,0,0,0
3253683,0,0,0
3255492,0,0,0
3276800,0,0,0
3280257,0,0,0
3282066,0,0,0
3283875,0,0,0
3285683,0,0,0
3287493,0,0,0
3289301,0,0,0
3291118,0,0,0
3276800,0,0,0
3315876,0,0,0
3317685,0,0,0
3319494,0,0,0
3321303,0,0,0
3323120,0,0,0
3324929,0,0,0
3327396,0,0,0
3342336,0,0,0
3352157,0,0,0
3353966,0,0,0
3355775,0,0,0
3357583,0,0,0
3359399,0,0,0
3361207,0,0,0
3363016,0,0,0
3342336,0,0,0
3387774,0,0,0
3389583,0,0,0
3391399,0,0,0
3393207,0,0,0
3395016,0,0,0
3396825,0,0,0
3398634,0,0,0
3407872,0,0,0
3423398,0,0,0
3425207,0,0,0
3427016,0,0,0
3428825,0,0,0
3430633,0,0,0
3432442,0,0,0
3434258,0,0,0
3407872,0,0,0
3459016,0,0,0
3460825,0,0,0
3462633,0,0,0
3464442,0,0,0
3466258,0,0,0
3468067,0,0,0
3469876,0,0,0
3473408,0,0,0
3494633,0,0,0
3496442,0,0,0
3498258,0,0,0
3500067,0,0,0
3501876,0,0,0
3503684,0,0,0
3505494,0,0,0
3473408,0,0,0
3530259,0,0,0
3532067,0,0,0
3533876,0,0,0
3535685,0,0,0
3537494,0,0,0
3539303,0,0,0
3541120,0,0,0
3538944,0,0,0
3565877,0,0,0
3567686,0,0,0
3569495,0,0,0
3571304,0,0,0
3573121,0,0,0
3574929,0,0,0
3576738,0,0,0
3538944,0,0,0
3601496,0,0,0
3603305,0,0,0
3605122,0,0,0
3606931,0,0,0
3608740,0,0,0
3610548,0,0,0
3612368,0,0,0
3604480,0,0,0
3637133,0,0,0
3638942,0,0,0
3640751,0,0,0
3642559,0,0,0
3644375,0,0,0
3646184,0,0,0
3647993,0,0,0
3670016,0,0,0
3672750,0,0,0
3674559,0,0,0
3676375,0,0,0
3678184,0,0,0
3679993,0,0,0
3681802,0,0,0
3683611,0,0,0
3670016,0,0,0
3708375,0,0,0
3710184,0,0,0
3711993,0,0,0
3713801,0,0,0
3715610,0,0,0
3717419,0,0,0
3719228,0,0,0
3735552,0,0,0
3743985,0,0,0
3745794,0,0,0
3747603,0,0,0
3749412,0,0,0
3751220,0,0,0
3753029,0,0,0
3754838,0,0,0
3735552,0,0,0
3779595,0,0,0
3781405,0,0,0
3783214,0,0,0
3785023,0,0,0
3786831,0,0,0
3788640,0,0,0
3790449,0,0,0
3801088,0,0,0
3815213,0,0,0
3817022,0,0,0
3818831,0,0,0
3820640,0,0,0
3822448,0,0,0
3824260,0,0,0
3826069,0,0,0
3801088,0,0,0
3850834,0,0,0
3852643,0,0,0
3854452,0,0,0
3856261,0,0,0
3858069,0,0,0
3859886,0,0,0
3861695,0,0,0
3866624,0,0,0
3886454,0,0,0
3888263,0,0,0
3890072,0,0,0
3891888,0,0,0
3893697,0,0,0
3895508,0,0,0
3897317,0,0,0
3866624,0,0,0
